,  NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Other Territories
Jan-2010,224490,122730,122950,17400,54970,5620,4640,7320,0
Feb-2010,204450,112440,120730,17700,57020,4300,4030,5660,0
Mar-2010,165850,85570,106910,13910,45310,2190,5010,4120,10
Apr-2010,144250,75900,96990,9780,36720,1920,5750,3630,20
May-2010,144480,79790,117670,10340,39580,1930,5770,4130,0
Jun-2010,182360,99920,154640,14590,42390,2430,8320,6270,10
Jul-2010,166860,86850,131470,10270,40130,1610,8960,5140,10
Aug-2010,173780,93410,132320,11820,51750,2250,6400,3960,0
Sep-2010,184540,103230,130130,12260,50220,2810,5790,5490,0
Oct-2010,194320,113810,126890,14060,56440,3450,4460,4670,0
Nov-2010,265450,152220,147690,20140,76360,6100,4650,5750,0
Dec-2010,196020,107630,96150,13210,48600,4380,3690,4100,0
Jan-2011,225040,132050,111790,17940,61160,5910,4430,6830,0
Feb-2011,196410,116170,102840,15560,55360,3360,5450,4940,10
Mar-2011,175120,97950,107820,15090,51890,2870,5090,4500,0
Apr-2011,141050,83580,100180,8570,39160,2000,6300,3670,0
May-2011,137620,82930,106370,9370,39800,1670,5700,4210,20
Jun-2011,175730,100140,151580,13340,45430,2020,11000,6390,0
Jul-2011,168820,94720,133510,10710,46720,1630,7030,3880,0
Aug-2011,161770,83270,113180,11590,48250,2020,5730,5240,0
Sep-2011,189450,102540,130510,12530,51200,2880,5480,4930,0
Oct-2011,195730,118920,118370,13310,60330,4240,5020,6830,0
Nov-2011,261820,155980,145190,20540,72770,7380,3840,7260,20
Dec-2011,193270,117370,107970,16600,53640,4260,4060,4820,0
Jan-2012,220150,133920,111560,18950,62100,5730,5250,8100,0
Feb-2012,208720,125040,119580,16080,60270,3780,5270,5080,0
Mar-2012,174500,101560,109590,13990,52470,2520,5690,4760,0
Apr-2012,143040,87470,99980,8720,41660,2370,6530,3670,0
May-2012,144940,84970,122310,10220,43730,2400,7620,4340,0
Jun-2012,169360,103120,147630,14090,45810,2220,11040,6590,0
Jul-2012,176510,104180,139920,11700,49540,2320,9380,5180,0
Aug-2012,162790,94080,137780,12420,52880,2170,7330,6030,0
Sep-2012,188560,110700,136660,13310,55440,2890,7760,5690,10
Oct-2012,205910,125790,131390,17190,63340,3690,7300,5500,0
Nov-2012,273250,169900,153780,25640,78660,6910,5250,7920,20
Dec-2012,188870,111750,102450,15230,55130,4760,4800,5690,0
Jan-2013,238430,146410,128250,19840,63900,7270,4710,8170,0
Feb-2013,220950,139930,127570,18750,65890,4540,6220,5010,0
Mar-2013,176770,100110,103840,13660,50830,2710,9190,4420,0
Apr-2013,154600,90680,100580,10070,44580,2340,6330,4160,0
May-2013,161070,93300,123830,9860,46090,1620,7240,4510,0
Jun-2013,188040,109520,154760,14400,46770,2250,7940,7240,0
Jul-2013,190370,112650,142020,13140,53620,2030,10720,4780,10
Aug-2013,180970,103720,126130,13340,54410,2140,7780,5410,0
Sep-2013,205820,112370,137040,15150,57510,3020,6490,5350,0
Oct-2013,223960,133040,124010,20150,63200,3920,4700,5140,0
Nov-2013,308030,189170,155140,27700,89800,7460,4760,7690,10
Dec-2013,225950,132120,110450,19380,59800,4900,4530,5370,0
Jan-2014,261470,145940,121480,22870,67450,5590,4550,8280,0
Feb-2014,237870,141520,121090,20610,65920,3760,5480,4560,10
Mar-2014,203490,116160,114320,17090,59140,3230,10830,4280,10
Apr-2014,180320,111450,105520,14050,48140,2270,6760,4360,0
May-2014,166080,101000,114400,13300,49330,1500,8070,4220,0
Jun-2014,201340,134700,158600,17500,56760,2210,12140,6390,10
Jul-2014,194120,116810,147500,14320,50660,2140,10350,5000,0
Aug-2014,188280,110730,132020,15180,60000,1930,8580,5030,0
Sep-2014,210560,132110,145290,17470,62420,3800,8490,6520,20
Oct-2014,233180,145420,127140,17980,67350,6020,7680,6390,80
Nov-2014,314940,195610,162020,27970,88740,9010,4480,9040,30
Dec-2014,214350,137520,106810,18480,55370,4960,3960,5980,0
Jan-2015,281790,189010,136820,25260,71600,7060,5250,9270,0
Feb-2015,265090,172420,133500,21430,69950,4780,5540,6520,20
Mar-2015,206130,129150,118720,17510,59800,2950,11090,4800,0
Apr-2015,185950,114570,111290,12420,49060,2400,5690,4260,10
May-2015,171900,113940,120410,10270,50790,2310,13620,4910,0
Jun-2015,214220,140420,174460,16930,58880,3320,12130,7900,0
Jul-2015,213400,129560,146490,13730,55360,2640,8210,4740,20
Aug-2015,204230,130300,146070,13790,62750,2910,6980,4980,0
Sep-2015,226460,152620,151540,15970,62470,3950,6690,6100,0
Oct-2015,251080,169380,141970,17850,73050,6060,5830,6320,10
Nov-2015,350330,231930,176140,27090,94760,9240,4060,7750,10
Dec-2015,245020,162400,123610,16530,55790,5550,3590,5180,0
Jan-2016,316290,209120,148240,22590,81070,7610,4700,8980,0
Feb-2016,298660,187650,153120,21540,78120,5400,5270,7590,0
Mar-2016,235320,146960,131910,15610,63200,3500,8270,5720,0
Apr-2016,204520,132470,122980,12290,56600,2830,5530,4050,0
May-2016,199940,134940,136350,12420,57630,3160,6120,4510,0
